bodr;Bodr
b_teoki;Teoçki
b_qepenna;Qepenna
b_tepevag;Tepevag
b_depohn;Depohn
b_rurevag;Rurevag
b_dallohn;Dallohn
b_kacith;Kacith
sallith;Sallith
b_karaht;Karah-T
b_kurevag;Kurevag
b_kukong;Kukong
b_keneter;Keneter
b_etheovat;Etheovat
b_akamohn;Akamohn
b_kalleki;Kalleçki
b_ranaceter;Ranaceter
rurohn;Rurohn
b_nenevag;Nenevag
b_ralah;Ralah
b_tarine;Tarine
b_aneovagsepvaqacvag;Aneovag-Sepva'qacvag
b_datenna;Datenna
b_sadurong;Sadurong
b_nalohn;Nalohn
b_wenevag;Wenevag
akenevag;Akenevag
b_akepevag;Akepevag
b_raijah;Raijah
b_bacohn;Bacohn
b_lacevag;Lacevag
b_asepenna;Asepenna
b_kaijine;Kaijine
b_dallevag;Dallevag
nalenna;Nalenna
b_barantay;Barantay
b_bamah;Bamah
b_balline;Balline
b_bengo;Bengo
b_narushel;Narushel
b_tukenna;Tukenna
b_qamevag;Qamevag
b_taraslan;Taraslan
b_talleter;Talleter
b_eratevag;Eratevag
b_rarah;Rarah
b_sukevag;Sukevag
b_racong;Racong
b_latevag;Latevag
b_qalline;Qalline
b_tenohn;Tenohn
ataline;Ataline
b_sameter;Sameter
b_senah;Senah
b_talleki;Talleçki
b_saijohn;Saijohn
b_asepong;Asepong
b_ekuketer;Ekuketer
b_barohn;Barohn
b_salevag;Salevag
reoter;Reoter
b_wepine;Wepine
b_rukevag;Rukevag
b_wacith;Wacith
b_talohn;Talohn
b_deneki;Deneçki
b_evalevag;Evalevag
b_repah;Repah
b_waijong;Waijong
suuline;Suuline
b_sallovat;Sallovat
b_nenohn;Nenohn
b_wepevag;Wepevag
b_arovat;Arovat
b_kamohn;Kamohn
b_ekukith;Ekukith
b_lanine;Lanine
b_rukohn;Rukohn
aburohn;Aburohn
b_taceki;Taceçki
b_qallevag;Qallevag
b_duulohn;Duulohn
b_enacine;Enacine
b_tukovat;Tukovat
b_wenovat;Wenovat
b_repevag;Repevag
b_neovag;Neovag
tukong;Tukong
b_tallenna;Tallenna
b_enevag;Enevag
b_reovat;Reovat
b_balovat;Balovat
b_raijine;Raijine
b_lalovat;Lalovat
b_kanong;Kanong
b_akallith;Akallith
nepevag;Nepevag
b_datah;Datah
b_akamine;Akamine
b_qurevag;Qurevag
b_daleter;Daleter
b_sallevag;Sallevag
b_ralenna;Ralenna
b_ereneter;Ereneter
b_bepong;Bepong
senohn;Senohn
b_tarahw;Tarah-W
b_nacong;Nacong
b_amaijah;Amaijah
b_burevag;Burevag
b_sepovat;Sepovat
b_luketer;Luketer
b_waijith;Waijith
b_weth;Weth
watsar;Watsa-R
b_ralevag;Ralevag
b_ekukong;Ekukong
b_tarevag;Tarevag
b_alepong;Alepong
b_anacevag;Anacevag
b_tanohn;Tanohn
b_eranovat;Eranovat
b_rarajpal;Rarajpal
avenith;Avenith
b_wepohn;Wepohn
b_kallevag;Kallevag
b_lanahrepja;Lanah-Repja
b_nureter;Nureter
b_tarushel;Tarushel
b_narah;Narah
b_nalah;Nalah
b_watine;Watine
b_rukine;Rukine
b_bine;Bine
b_wuulah;Wuulah
b_kaihnagodacse;Kaihn-Ago'dacse
b_sepine;Sepine
b_kukevag;Kukevag
b_tenong;Tenong
b_qalevag;Qalevag
kurine;Kurine
b_taijong;Taijong
b_sanantay;Sanantay
b_kadurong;Kadurong
b_tepah;Tepah
b_qanahbalj;Qanah-Balj
b_taijohn;Taijohn
b_tepong;Tepong
b_karevag;Karevag
ralline;Ralline
b_rurah;Rurah
b_bamong;Bamong
b_batevag;Batevag
b_atuuline;Atuuline
b_nukong;Nukong
b_atallevag;Atallevag
b_narovat;Narovat
wamohn;Wamohn
b_depith;Depith
b_asepeki;Asepeçki
b_nallith;Nallith
b_nepenna;Nepenna
b_rurith;Rurith
b_asepohn;Asepohn
b_keovag;Keovag
kalong;Kalong
b_qanasmig;Qanasmig
b_weneter;Weneter
b_kepeki;Kepeçki
b_qeneki;Qeneçki
b_atohn;Atohn
b_tanassak;Tanassak
b_laneter;Laneter
b_larine;Larine
wallith;Wallith
b_lacah;Lacah
b_barovat;Barovat
b_qanantay;Qanantay
b_kanantay;Kanantay
b_dong;Dong
b_kukenna;Kukenna
b_arajpal;Arajpal
b_qenine;Qenine
revenovat;Revenovat
b_banahtag;Banah-Tag
b_rukeki;Rukeçki
b_tesepevag;Tesepevag
b_reovag;Reovag
b_darovat;Darovat
b_rallong;Rallong
b_rellaeobsesa;Rella-Eobse'sa
b_ruulohn;Ruulohn
namarilip;Namarilip
b_adavurga;Adavurga
b_boanuel;Boanuel
b_areina;Areina
b_tarabra;Tarabra
b_elosa;Elosèa
b_kaetadi;Kaetadi
b_akoanoza;Akoanoza
b_qirolas;Qirolas
kavurga;Kavurga
b_suroza;Suroza
b_daetelin;Daetelin
b_adavelin;Adavelin
b_tisoumas;Tisoumas
b_lutlu;Lutlu
b_aburolas;Aburolas
b_soumas;Soumas
b_tavabra;Tavabra
wavenat;Wavenat
b_runeina;Runeina
b_sara;Sa'ra
b_turaura;Turaura
b_asmelin;Asmelin
b_avluel;Avluel
b_wiuncs;Wiuncs
b_lelin;Lelin
b_adutlu;Adutlu
daetaura;Daetaura
b_wisics;Wisics
b_koanule;Koanule
b_nilip;Nilip
b_qisethee;Qisethee
b_kucabra;Kucabra
b_kirelin;Kirelin
b_esadi;Esadi
b_kadavutlu;Kadavutlu
b_esutlu;Esutlu
b_neroza;Neroza
b_etenat;Etenat
b_bosa;Bosèa
b_rerosa;Rerosèa
b_nunilip;Nunilip
b_adrayaka;Adrayaka
b_baetllurl;Baetllurl
b_nucolas;Nucolas
b_layaka;Layaka
b_tiselin;Tiselin
b_beina;Beina
asayaka;Asayaka
b_netilip;Netilip
b_duradi;Duradi
b_niwurga;Niwurga
b_amarelin;Amarelin
b_kaasma;Ka'asma
b_ravlqucl;Ravlqucl
b_kaetics;Kaetics
b_keraura;Keraura
b_kaetelin;Kaetelin
b_wenat;Wenat
b_navadi;Navadi
b_asmayaka;Asmayaka
b_ravelin;Ravelin
b_revlad;Revla'd
etaradi;Etaradi
b_kerilip;Kerilip
b_amarabra;Amarabra
b_kuroza;Kuroza
b_kirrakiwl;Kirra'kiwl
b_esmutlu;Esmutlu
b_risoumas;Risoumas
b_dirolas;Dirolas
b_siwabra;Siwabra
edavule;Edavule
b_kisoza;Kisoza
b_qavule;Qavule
b_qiund;Qiund
b_nerosa;Nerosèa
b_quroza;Quroza
b_roanka;Roanka
b_qedurule;Qedurule
b_tarucenat;Tarucenat
bayaka;Bayaka
b_nirethee;Nirethee
b_ducolas;Ducolas
b_barilip;Barilip
b_remunaura;Remunaura
b_leruel;Leruel
b_kahl;Kahl
b_waura;Waura
b_lerelin;Lerelin
amunabra;Amunabra
b_edurilip;Edurilip
b_rurolas;Rurolas
b_nunenat;Nunenat
b_werilip;Werilip
b_wucelin;Wucelin
b_woanule;Woanule
b_tavoza;Tavoza
disosa;Disosèa
b_rucutlu;Rucutlu
b_tirkatucl;Tirka'tucl
b_qaetabra;Qaetabra
b_asmethee;Asmethee
b_erelin;Erelin
b_lerutlu;Lerutlu
b_taetaura;Taetaura
b_kerurga;Kerurga
wiwltiska;Wiwltiska
b_qeroza;Qeroza
b_sunilip;Sunilip
b_naradi;Naradi
b_daetabra;Daetabra
b_ruruel;Ruruel
b_kunutlu;Kunutlu
b_raeteina;Raeteina
b_wavilip;Wavilip
runuel;Runuel
b_surule;Surule
b_dethee;Dethee
b_tirutlu;Tirutlu
b_qaveina;Qaveina
b_eqelin;Eqelin
b_darule;Darule
b_kavule;Kavule
b_wucadi;Wucadi
nucics;Nucics
b_kerlta;Kerlta
b_sucilip;Sucilip
b_wiwutlu;Wiwutlu
b_erutlu;Erutlu
b_emunule;Emunule
b_lerenat;Lerenat
qesmenat;Qesmenat
qergu;Qergu
noa;Noa
luc;Luc
sergu;Sergu
eruc;Eruc
toa;Toa
roa;Roa
dav;Dav
kay;Kay
etre;Etre
er;Er
bih;Bih
ap;Apâ
wud;Wud
sic;Sic
atre;Atre
ku;Ku
lih;Lih
li;Li
aslu;Aslu
kalgu;Kalgu
nyo;Nyo
sudutlu;Sudutlu
sudutlu_DESC;All praise the almighty Eva!
eva;Eva
kyagta;Kyagta
kula;Kula
tateva;Tateva
tutidasa;Tutidasa
dyara;Dyara
ahsa;Ahsa
sudla;Sudla
qahsa;Qahsa
ryava;Ryava
tudna;Tudna
dyana;Dyana
sanu;Sanu
qahna;Qahna
ednu;Ednu
adula;Adula
sahnu;Sahnu
kiruu;Kirâuu
b_qirue;Qirâue
b_walougu;Walougu
b_bige;Bige
b_lige;Lige
b_ricuge;Ricuge
b_saluge;Saluge
b_qicutlu;Qicutlu
b_laluyu;Laluyu
aririe;Arirâie
b_laysule;Laysule
b_balougu;Balougu
b_kihuge;Kihuge
b_eslarses;Eslarses
b_qaik;Qai-K
b_qisinos;Qisinos
b_edinos;Edinos
b_balabra;Balabra
qaysuge;Qaysuge
b_qaladi;Qaladi
b_tesule;Tesule
b_noumas;Noumas
b_kicadi;Kicadi
b_kyros;Kyros
b_nedic;Ne-Dic
b_lenes;Lenes
b_ticabra;Ticabra
kige;Kige
b_doumas;Doumas
b_qisania;Qisania
b_taladi;Taladi
b_aqicabra;Aqicabra
b_erai;Erâai
b_kisige;Kisige
b_emicutlu;Emicutlu
b_salarses;Salarses
ethuge;Ethuge
b_evlania;Evlania
b_bule;Bule
b_wacles;Wacles
b_baitlu;Baitlu
b_tihrudejay;Tih-Rud Ejay
b_kaysuge;Kaysuge
b_nicuge;Nicuge
b_kihenes;Kihenes
raigu;Raigu
b_kalige;Kalige
b_karses;Karses
b_buyu;Buyu
b_tisige;Tisige
b_ekaysuge;Ekaysuge
b_ebaysa;Ebaysa
b_asoumas;Aåsoumas
b_kougu;Kougu
qalyhon;Qalyhon
b_daysuge;Daysuge
b_kergia;Kergia
b_erige;Erige
b_taysuge;Taysuge
b_tuge;Tuge
b_ryros;Ryros
b_nisyros;Nisyros
b_alihtekih;Alih-Te Kih
avlule;Avlule
b_tisuge;Tisuge
b_keloumas;Keloumas
b_darses;Darses
b_risotos;Risotos
b_bicadi;Bicadi
b_wicuge;Wicuge
b_kaibra;Kaibra
b_budalud;Bud-Alud
lisarses;Lisarses
b_qisotos;Qisotos
b_walacles;Walacles
b_tudotos;Tudotos
b_qicnic;Qic-Nic
b_rihabra;Rihabra
b_qisarses;Qisarses
b_qirnes;Qirânes
b_ruge;Ruge
achotos;Achotos
b_nicige;Nicige
b_laysuyu;Laysuyu
b_apue;Apâue
b_rotos;Rotos
b_kenes;Kenes
b_dira;Dirâa
b_ekalutlu;Ekalutlu
b_duge;Duge
daigu;Daigu
b_lergia;Lergia
b_kabra;Kabra
b_kaladi;Kaladi
b_kuge;Kuge
b_nisoumas;Nisoumas
b_bicuge;Bicuge
b_tudige;Tudige
b_qalania;Qalania
dalige;Dalige
b_luge;Luge
b_qicule;Qicule
b_waitos;Waitos
b_dalarses;Dalarses
b_balergia;Balergia
b_aslarses;Aslarses
b_dalenes;Dalenes
b_rapulu;Rapâulu
laigu;Laigu
disinos;Disinos
qic;Qic
nic;Nic
tic;Tic
kal;Kal
ricn;Ricn
ec;Ec
daj;Daj
epr;Epr
qaj;Qaj
saj;Saj
sam;Sam
sah;Sah
daya;Daya
wesn;Wesn
ebaj;Ebaj
nala;Nala
sopher;Sopher
kusran;Kus Ran
wess;Wess
narubal;Narubal
ebakukhia;Ebakukhia
aresubal;Aresubal
teluarn;Teluarn
kar;Kar
kyas;Kyas
butr;Buträ
dakla;Dakla
kuas;Kuas
kua;Kua
wak;Wak
qak;Qak
ways;Ways
nisa;Nisa
epul;Epul
laus;Laus
rau;Rau
dn;Dæn
rudeva;Rudeva
b_eqonyan;Eqonyan
b_ryagen;Ryagenç
b_konqaul;Kon Qaul
b_lahayya;Lahayya
b_ludyan;Ludyan
b_baraka;Baraka
b_bajule;Bajule
b_sakamayya;Sakamayya
ticyan;Ticyan
b_dyagala;Dyagala
b_tudtaya;Tud Taya
b_taulong;Taulong
b_tishong;Tishong
b_akamayya;Akamayya
b_lyagyan;Lyagyan
b_dayya;Dayya
b_amicala;Amicala
sekamopti;Sekamopti
b_qajayya;Qajayya
b_lesudadi;Lesudadi
b_baheva;Baheva
b_wayya;Wayya
b_kesica;Kesica
b_kicopti;Kicopti
b_wisheva;Wisheva
b_asajen;Asajenç
namayya;Namayya
b_bala;Bala
b_busadi;Busadi
b_tyanyan;Tyanyan
b_ryageva;Ryageva
b_tasen;Tasenç
b_ebajong;Ebajong
b_ethadi;Ethadi
rasayya;Rasayya
b_qavisheva;Qavisheva
b_kicayya;Kicayya
b_kusong;Kusong
b_echati;Echati
b_ehonong;Ehonong
b_desong;Desong
b_evisha;Evisha
b_rapti;Rapti
qonadi;Qonadi
b_budtaj;Bud Taj
b_raulule;Raulule
b_wamule;Wamule
b_aryanala;Aryanala
b_aropher;Aropher
b_raulong;Raulong
b_wonong;Wonong
b_nyagen;Nyagenç
ramayya;Ramayya
b_rahule;Rahule
b_kishule;Kishule
b_nicong;Nicong
b_qishen;Qishenç
b_resudapusqus;Resud Apus-Qus
b_kicyan;Kicyan
b_awesala;Awesala
b_emicong;Emicong
wakud;Wa Kud
b_tonadi;Tonadi
b_rayalusn;Raya Lusn
b_sahala;Sahala
b_tayya;Tayya
b_tusule;Tusule
b_tyanen;Tyanenç
b_tusadi;Tusadi
b_tuden;Tudenç
qopti;Qopti
b_tamayya;Tamayya
b_bonayya;Bonayya
b_byanule;Byanule
b_lajayya;Lajayya
b_kaulen;Kaulenç
b_dahayya;Dahayya
b_kayya;Kayya
b_wyan;Wyan
karaka;Karaka
b_qaulica;Qaulica
b_sajayya;Sajayya
b_evyagadi;Evyagadi
b_qadi;Qadi
b_rahyan;Rahyan
b_luseva;Luseva
b_susen;Susenç
b_ticala;Ticala
lonayya;Lonayya
b_erajala;Erajala
b_kesadi;Kesadi
b_saraka;Saraka
b_nishong;Nishong
b_konyan;Konyan
b_elyagmas;Elyagmas
b_tajnuskah;Taj Nus-Kah
b_qudayya;Qudayya
tusala;Tusala
b_bajlus;Baj Lus
b_lajong;Lajong
b_tyageva;Tyageva
b_lyagong;Lyagong
b_atajopti;Atajopti
b_sauleva;Sauleva
b_damica;Damica
b_rusule;Rusule
emahayya;Emahayya
b_lajadi;Lajadi
b_ryagica;Ryagica
b_layya;Layya
b_kong;Kong
b_tamen;Tamenç
b_kyanayya;Kyanayya
b_qisnan;Qisn An
qishong;Qishong
b_syanica;Syanica
b_qesayya;Qesayya
b_qehonayya;Qehonayya
b_eresala;Eresala
b_qopher;Qopher
b_kaulala;Kaulala
b_tasayya;Tasayya
b_atha;Atha
eprenda;Eprenda
b_kopher;Kopher
b_kusyan;Kusyan
b_desayya;Desayya
b_wusayya;Wusayya
b_kudyan;Kudyan
b_wusala;Wusala
b_kamayya;Kamayya
dusyan;Dusyan
b_weva;Weva
b_kyagen;Kyagenç
b_apreva;Apreva
b_namica;Namica
b_risha;Risha
b_tusayya;Tusayya
b_laheva;Laheva
b_raseva;Raseva
ewesong;Ewesong
b_ricica;Ricica
b_kishica;Kishica
b_dewesyan;Dewesyan
b_byagen;Byagenç
b_lisha;Lisha
b_dopti;Dopti
b_rayya;Rayya
b_roneva;Roneva
ronica;Ronica
b_kyagong;Kyagong
b_teseva;Teseva
b_sajyan;Sajyan
b_dameva;Dameva
b_wesica;Wesica
b_arajayya;Arajayya
b_tisheva;Tisheva
b_rusnyag;Rusn Yag
wicen;Wicenç
b_nenda;Nenda
b_kahayya;Kahayya
b_rajeva;Rajeva
b_lopher;Lopher
b_nusica;Nusica
b_kusayya;Kusayya
b_dadaskesn;Dadas Kesn
b_wyagule;Wyagule
raulrus;Raul Rus
b_riclic;Ric Lic
b_apusayya;Apusayya
b_loumas;Loumas
b_epusule;Epusule
b_esuden;Esudenç
b_waulen;Waulenç
b_etyanayya;Etyanayya
b_tajeslasic;Taj Esla-Sic
lonong;Lonong
b_tudayya;Tudayya
b_byagica;Byagica
b_ekamqes;Ekam Qes
b_syan;Syan
b_nonala;Nonala
b_damayya;Damayya
b_rasica;Rasica
b_nyanala;Nyanala
dyagmas;Dyagmas
ronong;Ronong
nish;Nish
kusk;Kusk
don;Don
watl;Watl
amic;Amic
w;Wæ
rish;Rish
etong;Etong
avish;Avish
edaul;Edaul
anez;Anez
dezo;Dezo
elic;Elic
rek;Rek
adobn;Adobn
aruz;Aruz
wezo;Wezo
werita;Werita
dosye;Dosye
deo;Deo
sogenr;Sogenr
kaut;Kaut
begius;Begius
denathe;Denathe
agi;Agi
wogoy;Wogoy
las;Las
qi;Qi
remi;Remi
ker;Ker
ani;Ani
laudt;Laudt
ros;Ros
teni;Teni
doss;Doss
soy;Soy
kaudi;Kaudi
wos;Wos
larl;Larl
b_batabuya;Bata'buya
b_elitaenez;Elita'enez
b_niteyl;Niteyl
b_riteliz;Riteliz
b_nobezo;Nobezo
b_lobata;Lobata
b_nuyan;Nuyan
b_eseliz;Eseliz
kezaria;Kezaria
b_kugita;Kugita
b_ticezo;Ticezo
b_banonglitn;Banonglitn
b_tobosk;Tobosk
b_ryia;Ryia
b_latekata;Latekata
b_luzosk;Luzosk
b_ritinia;Ritinia
lekita;Lekita
b_titore;Titore
b_kekeliz;Kekeliz
b_wulnnauc;Wulnnauc
b_titeyl;Titeyl
b_kitaria;Kitaria
b_etekata;Etekata
b_nazaria;Nazaria
kitata;Kitata
b_qezayya;Qezayya
b_kekaria;Kekaria
b_atuginia;Atuginia
b_kuznqek;Kuznqek
b_nuzezo;Nuzezo
b_sekore;Sekore
b_byqug;Byqug
b_keonan;Keon'an
wuzinia;Wuzinia
b_dobaria;Dobaria
b_kazinia;Kazinia
b_quyan;Quyan
b_tedobeyl;Tedobeyl
b_tobayya;Tobayya
b_abicnwauc;Abicnwauc
b_lulayya;Lulayya
b_nitata;Nitata
ropher;Ropher
b_nobita;Nobita
b_sitore;Sitore
b_bosye;Bosye
b_tobinia;Tobinia
b_ruzata;Ruzata
b_ritita;Ritita
b_bobaria;Bobaria
b_sezita;Sezita
tobata;Tobata
b_atekong;Atekong
b_neonosk;Neonosk
b_kugezo;Kugezo
b_tobita;Tobita
b_aruzaria;Aruzaria
b_edobaria;Edobaria
b_natala;Na'tala
b_keyl;Keyl
litong;Litong
b_sosata;Sosata
b_keonita;Keonita
b_dugita;Dugita
b_tuziyan;Tuziyan
b_anezeyl;Anezeyl
b_etugita;Etugita
b_suznsobn;Suznsobn
b_tuzen;Tuzenî
tugiyan;Tugiyan
b_razata;Razata
b_ritore;Ritore
b_kekata;Kekata
b_keleonata;Keleonata
b_dezata;Dezata
b_ryok;Ryok
b_niyan;Niyan
b_asata;Asata
lezo;Lezo
b_atiteyl;Atiteyl
b_qitosk;Qitosk
b_werinia;Werinia
b_tobaria;Tobaria
b_wong;Wong
b_anuyan;Anuyan
b_robata;Robata
b_ritong;Ritong
etentiy;Etentiy
b_sobeyl;Sobeyl
b_wulata;Wulata
b_duzeliz;Duzeliz
b_wazeliz;Wazeliz
b_atugeliz;Atugeliz
b_qicen;Qicenî
b_nitosk;Nitosk
b_bekata;Bekata
beyl;Beyl
b_esposye;Esposye
b_qicita;Qicita
b_ruyaria;Ruyaria
b_etita;Etita
b_wekaria;Wekaria
b_bitata;Bitata
b_titlkek;Titlkek
kosezo;Kosezo
b_woskwosk;Woskwosk
b_dezosk;Dezosk
b_databata;Data'bata
b_etrita;Etrita
b_qiten;Qitenî
b_nobeyl;Nobeyl
b_bita;Bita
b_ticata;Ticata
qitita;Qitita
b_tyai;Tyai
b_seonita;Seonita
b_rerata;Rerata
b_tosopolk;Tosopolk
b_litezo;Litezo
b_reliz;Reliz
b_kanoredobn;Kanore'dobn
b_kanezinia;Kanezinia
quyal;Quyalê
b_rugata;Rugata
b_kicita;Kicita
b_remaziyan;Remaziyan
b_titosk;Titosk
b_tekiyan;Tekiyan
b_qitentiy;Qitentiy
b_kugaria;Kugaria
b_anezata;Anezata
tosnwata;Tosnwata
b_ruzore;Ruzore
b_adobosk;Adobosk
b_enitatita;Enita'tita
b_asitentiy;Asitentiy
b_ruyal;Ruyalê
b_tezeqer;Tez'eqer
b_dicong;Dicong
b_terata;Terata
qitata;Qitata
b_nitiyan;Nitiyan
b_weliz;Weliz
b_eqitinia;Eqitinia
b_qulita;Qulita
b_lobeliz;Lobeliz
b_lobong;Lobong
b_titita;Titita
b_neren;Nerenî
qitaqata;Qita'qata
b_atata;Atata
b_tita;Tita
b_nekong;Nekong
b_ticayya;Ticayya
b_robore;Robore
b_qekita;Qekita
b_qazaruzn;Qaz'aruzn
b_eritaenata;Erita'enata
b_tuyan;Tuyan
b_derosk;Derosk
b_tuleyl;Tuleyl
b_qaria;Qaria
b_kulata;Kulata
b_song;Song
quliyan;Quliyan
b_sobata;Sobata
b_atrong;Atrong
b_daucita;Daucita
b_qezosk;Qezosk
b_rekata;Rekata
b_qerosk;Qerosk
b_wyia;Wyia
b_nitita;Nitita
nicata;Nicata
b_wugaria;Wugaria
b_wazaria;Wazaria
b_nopolk;Nopolk
b_tezo;Tezo
b_ricong;Ricong
b_kongs;Kongs
b_kata;Kata
b_tulosk;Tulosk
buzosk;Buzosk
b_rita;Rita
b_dosita;Dosita
b_kobita;Kobita
b_tobiyan;Tobiyan
b_asita;Asita
b_titopolk;Titopolk
b_erobata;Erobata
b_wobaria;Wobaria
nuyaliz;Nuyaliz
b_sugong;Sugong
b_esekore;Esekore
b_lezita;Lezita
b_rezen;Rezenî
b_tosong;Tosong
b_alyaa;Alyaa
b_tekita;Tekita
b_kobeyl;Kobeyl
rezeliz;Rezeliz
b_agaucata;Agaucata
b_kitentiy;Kitentiy
b_tuzosk;Tuzosk
b_atekezo;Atekezo
b_tekezo;Tekezo
b_wezeyl;Wezeyl
b_ritata;Ritata
b_sazeliz;Sazeliz
aruzezo;Aruzezo
b_sosk;Sosk
b_kitore;Kitore
b_tong;Tong
b_sulinia;Sulinia
b_razaria;Razaria
b_kazong;Kazong
b_kobezo;Kobezo
b_nosezo;Nosezo
b_alitaria;Alitaria
b_titata;Titata
b_qobata;Qobata
b_emazore;Emazore
b_reonezo;Reonezo
b_kerita;Kerita
b_qosata;Qosata
b_qekong;Qekong
b_wugita;Wugita
b_tezeyl;Tezeyl
b_kaucata;Kaucata
b_tuyal;Tuyalê
b_dugeliz;Dugeliz
b_tetore;Tetore
b_wuleliz;Wuleliz
b_sitaditn;Sita'ditn
wyel;Wyel
b_nuzeliz;Nuzeliz
b_litata;Litata
b_quyania;Quyania
b_qeherong;Qeherong
b_kobosk;Kobosk
b_espen;Espenî
b_ditita;Ditita
b_weonosk;Weonosk
nosita;Nosita
quya;Quya
tul;Tul
qong;Qong
bitl;Bitl
wosl;Wosl
ty;Ty
ehil;Ehil
buis;Buis
tezn;Tezn
ahiln;Ahiln
amal;Amal
wez;Wez
diln;Diln
kepn;Kepn
damn;Damn
liln;Liln
dyn;Dyn
luhn;Luhn
sadwin;Sadwin
wobun;Wobun
kanina;Kanina
nunli;Nunli
debina;Debina
az;Az
atolaloc;Atolaloc
sezomoc;Sezomoc
lozoch;Lozoch
wuilripl;Wuil Ripl
kil;Kil
katl;Katl
loch;Loch
kiqc;Kiqc
latl;Latl
bya;Bya
riqc;Riqc
eqoc;Eqoc
tezt;Tezt
emezl;Emezl
loll;Loll
byar;Byar
tobicta;Tobicta
b_kisewin;Kisewin
b_kuhikt;Kuhikt
b_debuno;Debuno
b_ebinia;Ebinia
b_todusha;Todusha
b_ehikt;Ehikt
b_qunmiakig;Qunmia Kig
b_ebenrik;Ebenrik
tacewin;Tacewin
baknialodno;Baknia Lodno
lebn;Lebn
kom;Kom
tiniu;Tiniu
let;Let
qeb;Qeb
asiu;Asiu
rebn;Rebn
lin;Lin
kosk;Kosk
tisiu;Tisiu
kode;Kode
rade;Rade
eprit;Eprit
qon;Qon
tisn;Tisn
keat;Keat
suno;Suno
risn;Risn
sad;Sad
rad;Rad
ron;Ron
ebn;Ebn
qun;Qun
kede;Kede
esabe;Esabe
tigiu;Tigiu
rete;Rete
dede;Dede
agn;Agn
atrg;Atrg
sere;Sere
kade;Kade
epede;Epede
rerada;Rerada
tanacob;Tanacob
tanacob_DESC;All praise the almighty Dazt!
kerya;Kerya
depemka;Depemka
renka;Renka
qazateg;Qazateg
nymo;Nymo
lanva;Lanva
tirmo;Tirmo
wupa;Wupa
anva;Anva
eval;Eval
kyva;Kyva
waza;Waza
warva;Warva
tir;Tir
taza;Taza
keberered;Keberered
b_enunada;Enunada
b_digina;Digina
b_sosipp;Sosipp
b_tonigid;Tonigid
b_kunada;Kunada
b_qadina;Qadina
b_lilaing;Lilaing
b_dabiu;Dabiu
wigina;Wigina
b_ladipp;Ladipp
b_redusha;Redusha
b_akaugid;Akaugid
b_esoniu;Esoniu
b_leong;Leong
b_bageseoshake;Bage-Seosha Ke
b_wabaing;Wabaing
b_rausha;Rausha
kesabigid;Kesabigid
b_tite;Tite
b_keong;Keong
b_laulina;Laulina
b_nunipp;Nunipp
b_retina;Retina
b_riurere;Riu-Rere
b_tetacob;Tetacob
b_kabipp;Kabipp
b_etadann;Etadann
b_ledewigiu;Lede-Wigiu
b_taunn;Taunn
b_atrand;Atrand
b_esoserd;Esoserd
b_nigina;Nigina
b_digacob;Digacob
b_nosiu;Nosiu
banina;Banina
b_witerd;Witerd
b_nitina;Nitina
b_qebedigebebe;Qebe-Dige Bebe
b_reon;Reon
b_tauliu;Tauliu
b_keon;Keon
b_tanainn;Tanainn
b_rethetre;Reth-Etre
ranusha;Ranusha
b_estauu;Estauu
b_qabiu;Qabiu
b_rada;Rada
b_seonn;Seonn
b_kuniu;Kuniu
b_tunusha;Tunusha
b_tedaing;Tedaing
b_bederd;Bederd
ebainn;Ebainn
b_tebadwig;Tebadwig
b_tilaing;Tilaing
b_apauliu;Apauliu
b_rigerd;Rigerd
b_nilann;Nilann
b_nedaing;Nedaing
b_titina;Titina
b_wabusha;Wabusha
lina;Lina
b_ligiuthd;Ligiu-Thd
b_qosiu;Qosiu
b_wadina;Wadina
b_qeored;Qeored
b_atrigid;Atrigid
b_kigaing;Kigaing
b_renunann;Renunann
b_atheou;Atheou
litand;Litand
b_neterd;Neterd
b_letina;Letina
b_lerainn;Lerainn
b_tigerd;Tigerd
b_kosiu;Kosiu
b_niland;Niland
b_kanann;Kanann
b_teterd;Teterd
kauu;Kauu
b_qetina;Qetina
b_kadwig;Kadwig
b_qetann;Qetann
b_wabada;Wabada
b_ranipp;Ranipp
b_labina;Labina
b_tadanina;Tadanina
nabada;Nabada
b_wanann;Wanann
b_wilacob;Wilacob
b_retaing;Retaing
b_babipp;Babipp
b_ladered;Ladered
b_qabainn;Qabainn
b_beored;Beored
b_rebina;Rebina
keonn;Keonn
b_nadina;Nadina
b_debaing;Debaing
b_nebacob;Nebacob
b_ezilina;Ezilina
b_ekeored;Ekeored
b_tadiu;Tadiu
b_ronina;Ronina
b_babigid;Babigid
etadeebiu;Etade-Ebiu
b_taulina;Taulina
b_ditina;Ditina
b_qada;Qada
b_losainn;Losainn
b_ekigina;Ekigina
b_seocob;Seocob
b_netainn;Netainn
b_qilina;Qilina
enabina;Enabina
b_detiu;Detiu
b_sabusha;Sabusha
b_atheon;Atheon
b_naucob;Naucob
b_alaulerd;Alaulerd
b_eberd;Eberd
b_berainn;Berainn
b_asabann;Asabann
enign;Enign-
b_retiu;Retiu
b_webonml;Webonml
b_repetusha;Repetusha
b_runered;Runered
b_qeosha;Qeosha
b_kigada;Kigada
b_lerigid;Lerigid
b_econacob;Econacob
sabiu;Sabiu
b_witand;Witand
